Record Number,Page Number,School Name,Address 1,Address 2,City,State,Zip,Phone,Principal Name,School Website,District,Grades Served,Data Quality Score,Data Quality Issues
228,16,BARBARA YARBROUGH ELEM,"6000 Riverfront Dr, Midland, TX 79706",6000 Riverfront Dr,Midland,TX,79706,(432) 240-8500,Mrs Jill Arthur,http://www.midlandisd.net/Domain/4550,Midland ISD,Early Education - Grade 6,100,
229,16,BARKSDALE ELEM,"2424 Midway, Plano, TX 75093",2424 Midway,Plano,TX,75093,(469) 752-0100,Mr Michael Minyard,http://www.pisd.edu/,Plano ISD,Kindergarten - Grade 5,100,
230,16,BARNES ELEM,"2829 Oso Pkwy, Corpus Christi, TX 78414",2829 Oso Pkwy,Corpus Christi,TX,78414,(361) 994-5051,Ms Katherine Gorman,http://barnes.ccisd.us/,Corpus Christi ISD,Early Education - Grade 5,100,
231,16,BARRICK ELEM,"12001 Winfrey Ln, Houston, TX 77076",12001 Winfrey Ln,Houston,TX,77076,(281) 405-2500,Ms Yolanda Y Garrido,http://www.houstonisd.org/,Houston ISD,Prekindergarten - Grade 5,100,
232,16,BARRINGTON ELEM,"400 Cooper Dr, Austin, TX 78753",400 Cooper Dr,Austin,TX,78753,(512) 414-2008,Ms Gilma Sanchez,http://www.austinisd.org/schools/barrington,Austin ISD,Prekindergarten - Grade 5,100,
233,16,BARRINGTON PLACE ELEM,"2100 Squire Dobbins Dr, Sugar Land, TX 77478",2100 Squire Dobbins Dr,Sugar Land,TX,77478,(281) 634-4040,Ruth Riha,http://www.fortbendisd.com/bpe,Fort Bend ISD,Early Education - Grade 5,100,
234,16,BARRON ELEM,"3300 Ave P, Plano, TX 75074",3300 Ave P,Plano,TX,75074,(469) 752-0200,Substitute Substitute,http://www.pisd.edu/,Plano ISD,Prekindergarten - Grade 5,100,
235,16,BARRON ELEM,"11155 Whitey Ford St, El Paso, TX 79934",11155 Whitey Ford St,El Paso,TX,79934,(915) 236-5075,Ms Elaine Vasquez,http://barron.episd.org/,El Paso ISD,Prekindergarten - Grade 5,100,
236,16,BARTLETT SCHOOLS,"404 N Robinson, Bartlett, TX 76511",404 N Robinson,Bartlett,TX,76511,(254) 527-4247,Lacey Cruddas Mr Austin Crawley,Not Found,Bartlett ISD,Prekindergarten - Grade 12,90,School Website not available
237,16,BARTON CREEK ELEM,"1314 Patterson Rd, Austin, TX 78733",1314 Patterson Rd,Austin,TX,78733,(512) 732-9180,Ms Tiffany Phelps,http://bce.eanesisd.net/,Eanes ISD,Kindergarten - Grade 5,100,
238,16,BARTON ELEM,"2931 Conflans Rd, Irving, TX 75061",2931 Conflans Rd,Irving,TX,75061,(972) 600-4100,Christina Ruiz,http://www.irvingisd.net/,Irving ISD,Prekindergarten - Grade 5,100,
239,16,BARTON HILLS ELEM,"2108 Barton Hills Dr, Austin, TX 78704",2108 Barton Hills Dr,Austin,TX,78704,(512) 414-2013,Ms Kati Achtermann,http://www.austinisd.org/schools/bartonhills,Austin ISD,Kindergarten - Grade 6,100,
240,16,BASIS AUSTIN PRI,"1605 Kramer Ln, Austin, TX 78758",1605 Kramer Ln,Austin,TX,78758,(737) 263-5890,Jennifer Higgins,Not Found,Basis Texas,Kindergarten - Grade 2,90,School Website not available
241,17,BASIS SAN ANTONIO PRI - NORTHEAST CAMPUS,"11550 I-35 Frontage Rd, San Antonio, TX 78233",11550 I-35 Frontage Rd,San Antonio,TX,78233,(210) 742-6310,Christopher Ferguson,http://basised.com/,Basis Texas,Kindergarten - Grade 4,100,
242,17,BASIS SAN ANTONIO PRI- MEDICAL CENTER CAMPUS,"8519 Floyd Curl Dr, San Antonio, TX 78240",8519 Floyd Curl Dr,San Antonio,TX,78240,(210) 319-5525,Gabriela Kimball,http://basisedtx.com/,Basis Texas,Kindergarten - Grade 5,100,
243,17,BASIS SAN ANTONIO- PRI NORTH CENTRAL CAMPUS,"318 E Ramsey Rd, San Antonio, TX 78216",318 E Ramsey Rd,San Antonio,TX,78216,(210) 775-4125,Mr Sean Woytek,http://www.basissanantonionc.org/,Basis Texas,Kindergarten - Grade 5,100,
244,17,BASKIN ELEM,"630 Crestview Dr, San Antonio, TX 78201",630 Crestview Dr,San Antonio,TX,78201,(210) 438-6535,Yvonne Marinez,Not Found,San Antonio ISD,Prekindergarten - Grade 5,90,School Website not available
245,17,BASSETTI ELEM,"5749 Hwy 277 S, Abilene, TX 79606",5749 Hwy 277 S,Abilene,TX,79606,(325) 690-3720,Ms Cecelia Zertuche,http://www.abileneisd.org/,Abilene ISD,Kindergarten - Grade 5,100,
246,17,BASSWOOD ELEM,"3100 Clay Mountain Trail, Fort Worth, TX 76137",3100 Clay Mountain Trail,Fort Worth,TX,76137,(817) 744-6500,Tony Johnson,http://www.kellerisd.net/,Keller ISD,Prekindergarten - Grade 5,100,
247,17,BASTIAN ELEM,"5051 Bellfort, Houston, TX 77033",5051 Bellfort,Houston,TX,77033,(713) 732-5830,Ms Alana E Holloway,http://www.houstonisd.org/,Houston ISD,Prekindergarten - Grade 5,100,
248,17,BATESVILLE SCHOOL,"496 Garden St, Batesville, TX 78829",496 Garden St,Batesville,TX,78829,(830) 376-4221,Mrs Sandra Gonzales,http://batesville.uvaldecisd.net/,Uvalde CISD,Early Education - Grade 6,100,
249,17,BATY ELEM,"2101 Faro Dr, Austin, TX 78741",2101 Faro Dr,Austin,TX,78741,(512) 386-3450,Ms Joel Deborah,http://sites.dvisd.net/bes/,Del Valle ISD,Early Education - Grade 5,100,
250,17,BAY COLONY ELEM,"101 Bay Colony Elementary Dr, Dickinson, TX 77539",101 Bay Colony Elementary Dr,Dickinson,TX,77539,(281) 229-6200,Amy Smith,http://www.dickinsonisd.org/,Dickinson ISD,Early Education - Grade 4,100,
251,17,Not Found,"1502 Bayport Blvd, Seabrook, TX 77568",1502 Bayport Blvd,Seabrook,TX,77568,(281) 284-4600,Mrs Jennifer Toups,http://www.ccisd.net/,Clear Creek ISD,Early Education - Grade 5,90,School Name not available
252,17,BAYLES ELEM,"2444 Telegraph Ave, Dallas, TX 75228",2444 Telegraph Ave,Dallas,TX,75228,(972) 749-8900,Gloria F Kennedy,http://www.dallasisd.org/bayles,Dallas ISD,Prekindergarten - Grade 5,100,
253,17,BAYLESS ELEM,"2115 58th St, Lubbock, TX 79412",2115 58th St,Lubbock,TX,79412,(806) 219-5000,Brandi Mckinney,Not Found,Lubbock ISD,Early Education - Grade 5,90,School Website not available
254,17,BAYSHORE ELEM,"800 Mccable Rd, La Porte, TX 77571",800 Mccable Rd,La Porte,TX,77571,(281) 604-4600,Ms Lisa Basile,Not Found,La Porte ISD,Kindergarten - Grade 5,90,School Website not available
255,17,BEACON HILL ACADEMY,"1411 W Ashby Pl, San Antonio, TX 78201",1411 W Ashby Pl,San Antonio,TX,78201,(210) 738-9765,Felismina Martinez,Not Found,San Antonio ISD,Prekindergarten - Grade 8,90,School Website not available
256,18,BEAN ELEM,"3001 Ave N, Lubbock, TX 79411",3001 Ave N,Lubbock,TX,79411,(806) 219-5100,Leticia Gutierrez,Not Found,Lubbock ISD,Prekindergarten - Grade 5,90,School Website not available
257,18,BEAR BRANCH ELEM,"3500 Garden Lk, Kingwood, TX 77339",3500 Garden Lk,Kingwood,TX,77339,(281) 641-1600,Ms Kathryn Palmer,http://www.humbleisd.net/bbe,Humble ISD,Kindergarten - Grade 5,100,
258,18,BEAR BRANCH ELEM,"8909 FM 1488, Magnolia, TX 77354",8909 FM 1488,Magnolia,TX,77354,(281) 356-4771,Mr John Allbritton,http://bbes.magnoliaisd.org/,Magnolia ISD,Early Education - Grade 4,100,
259,18,BEAR CREEK ELEM,"4815 Hickory Downs Dr, Houston, TX 77084",4815 Hickory Downs Dr,Houston,TX,77084,(281) 237-5606,Stephanie Mcelroy,http://www.katyisd.org/,Katy ISD,Early Education - Grade 5,100,
260,18,BEAR CREEK ELEM,"401 Bear Creek Dr, Euless, TX 76039",401 Bear Creek Dr,Euless,TX,76039,(817) 305-4860,Mr Bryan Calvert,Not Found,Grapevine-Colleyville ISD,Early Education - Grade 5,90,School Website not available
261,18,BEAR CREEK ELEM,"12801 Escarpment Blvd, Austin, TX 78739",12801 Escarpment Blvd,Austin,TX,78739,(512) 414-0040,David Crissey,http://www.austinisd.org/schools/bearcreek,Austin ISD,Prekindergarten - Grade 5,100,
262,18,BEARD ELEM,"8725 Sonoma Pkwy, Helotes, TX 78023",8725 Sonoma Pkwy,Helotes,TX,78023,(210) 397-6600,Mr Jeremy Day,Not Found,Northside ISD,Early Education - Grade 5,90,School Website not available
263,18,BEASLEY ELEM,"919 Green Canyon Dr, Mesquite, TX 75150",919 Green Canyon Dr,Mesquite,TX,75150,(972) 882-5160,Mrs Kelly Mccollom,http://www.mesquiteisd.org/,Mesquite ISD,Early Education - Grade 5,100,
264,18,BEASLEY ELEM,"7511 Ave J, Beasley, TX 77417",7511 Ave J,Beasley,TX,77417,(832) 223-1100,Laura Haugvoll,http://www.lcisd.org/campuses/beasley/home,Lamar CISD,Early Education - Grade 5,100,
265,18,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,"5807 Calhoun Rd, Houston, TX 77021",5807 Calhoun Rd,Houston,TX,77021,(713) 747-5629,Beatrice Mayes,Not Found,Beatrice Mayes Institute Charter School,Kindergarten - Grade 8,90,School Website not available
266,18,BEATY EARLY CHILDHOOD SCHOOL,"1717 Nevada Dr, Plano, TX 75093",1717 Nevada Dr,Plano,TX,75093,(469) 752-4200,Kristen Fislar,http://www.pisd.edu/,Plano ISD,Early Education - Prekindergarten,100,
267,18,BEAVER TECHNOLOGY CENTER,"3232 March Ln, Garland, TX 75042",3232 March Ln,Garland,TX,75042,(972) 494-8301,Ms Vicki Devantier,http://www.garlandisd.net/beaver,Garland ISD,Kindergarten - Grade 5,100,
268,18,BEBENSEE ELEM,"5900 Inks Lk Dr, Arlington, TX 76018",5900 Inks Lk Dr,Arlington,TX,76018,(682) 867-5100,Ms Charlotte Carter,Not Found,Arlington ISD,Early Education - Grade 6,90,School Website not available
269,18,BECKER ELEM,"906 W Milton, Austin, TX 78704",906 W Milton,Austin,TX,78704,(512) 414-2019,Mr Travis Barrett,http://www.austinisd.org/schools/becker,Austin ISD,Prekindergarten - Grade 5,100,
270,18,BECKHAM ELEM,"1700 Southeast Pkwy, Arlington, TX 76002",1700 Southeast Pkwy,Arlington,TX,76002,(682) 867-6600,Karen Hicks,Not Found,Arlington ISD,Prekindergarten - Grade 6,90,School Website not available
271,19,BECKVILLE SUNSET ELEM,"4378 Sh 149, Beckville, TX 75631",4378 Sh 149,Beckville,TX,75631,(903) 678-3601,Mr Brandon Kruebbe,http://www.beckvilleisd.net/,Beckville ISD,Early Education - Grade 5,100,
272,19,BEDFORD HEIGHTS ELEM,"1000 Cummings Dr, Bedford, TX 76021",1000 Cummings Dr,Bedford,TX,76021,(817) 788-3150,Mrs Kathleen Harrell,Not Found,Hurst-Euless-Bedford ISD,Kindergarten - Grade 6,90,School Website not available
273,19,BEE CAVE ELEM,"14300 Hamilton Pool Rd, Austin, TX 78738",14300 Hamilton Pool Rd,Austin,TX,78738,(512) 533-6250,Kim Kellner,Not Found,Lake Travis ISD,Kindergarten - Grade 5,90,School Website not available
274,19,BEHLAU ELEM,"2355 Camp Light Way, San Antonio, TX 78245",2355 Camp Light Way,San Antonio,TX,78245,(210) 398-1000,Ms Rachel Delgado,Not Found,Northside ISD,Early Education - Grade 5,90,School Website not available
275,19,BEL AIR ELEM,"215 Willowbrook Dr, Athens, TX 75751",215 Willowbrook Dr,Athens,TX,75751,(903) 677-6980,Mrs Lisa Howell,http://www.athensisd.net/,Athens ISD,Prekindergarten - Grade 5,100,
276,19,BEL NAFEGAR SANCHEZ ELEM,"1721 Sterling Lakes W Dr, Rosharon, TX 77583",1721 Sterling Lakes W Dr,Rosharon,TX,77583,(281) 388-1130,Ms Roman Nieto,http://www.alvinisd.net/Domain/6753,Alvin ISD,Early Education - Grade 5,100,
277,19,BELAIRE ELEM,"700 Stephens St, San Angelo, TX 76905",700 Stephens St,San Angelo,TX,76905,(325) 659-3639,Laura Eubank,http://belaire.saisd.org/,San Angelo ISD,Prekindergarten - Grade 5,100,
278,19,BELL ELEM,"12323 Shaftsbury Dr, Houston, TX 77031",12323 Shaftsbury Dr,Houston,TX,77031,(281) 983-2800,Ms Kizzy Luke,http://www.houstonisd.org/,Houston ISD,Early Education - Grade 5,100,
279,19,BELL ELEM,"1409 Hankerson St, Tyler, TX 75701",1409 Hankerson St,Tyler,TX,75701,(903) 262-1820,Ms Tamara Johnson,Not Found,Tyler ISD,Early Education - Grade 5,90,School Website not available
280,19,BELL MANOR ELEM,"1300 Winchester Way, Bedford, TX 76022",1300 Winchester Way,Bedford,TX,76022,(817) 354-3370,Ms Keri Mccarty,Not Found,Hurst-Euless-Bedford ISD,Early Education - Grade 6,90,School Website not available
281,19,BELL'S HILL ELEM,"2100 Ross, Waco, TX 76706",2100 Ross,Waco,TX,76706,(254) 754-4171,Ms Rebekah A Mechell,http://bellshill.wacoisd.org/cms/One.aspx,Waco ISD,Prekindergarten - Grade 5,100,
282,19,BELLAIRE ELEM,"142 E Amber Pl, San Antonio, TX 78221",142 E Amber Pl,San Antonio,TX,78221,(210) 989-2850,Dr Felecia Joiner,Not Found,Harlandale ISD,Early Education - Grade 5,90,School Website not available
283,19,BELLAIRE ELEM,"501 Bellaire Dr, Hurst, TX 76053",501 Bellaire Dr,Hurst,TX,76053,(817) 285-3230,Erika Martin,Not Found,Hurst-Euless-Bedford ISD,Prekindergarten - Grade 6,90,School Website not available
284,19,BELLEVUE SCHOOL,"500 Seventh St, Bellevue, TX 76228",500 Seventh St,Bellevue,TX,76228,(940) 928-2104,Ms Lori Shoemaker,http://www.bellevueisd.org/,Bellevue ISD,Prekindergarten - Grade 12,100,
285,19,BELLFORT EARLY CHILDHOOD CENTER,"7647 Bellfort, Houston, TX 77061",7647 Bellfort,Houston,TX,77061,(713) 640-0950,Jesseye Brown,http://www.houstonisd.org/,Houston ISD,Early Education - Kindergarten,100,
286,20,BELLS ELEM,"110 Scott Rd, Bells, TX 75414",110 Scott Rd,Bells,TX,75414,(903) 965-3601,Kerry Harlan,Not Found,Bells ISD,Prekindergarten - Grade 5,90,School Website not available
287,20,BELMAR ELEM,"6324 Adirondack, Amarillo, TX 79106",6324 Adirondack,Amarillo,TX,79106,(806) 326-4050,Mr James Potts,http://belmaramaisd.sharpschool.com/,Amarillo ISD,Early Education - Grade 5,100,
288,20,BELT LINE ELEM,"1355 W Belt Line Rd, Lancaster, TX 75146",1355 W Belt Line Rd,Lancaster,TX,75146,(972) 218-1608,Mrs Wendy Hawthorne,Not Found,Lancaster ISD,Early Education - Grade 5,90,School Website not available
289,20,BELTON EARLY CHILDHOOD SCHOOL,"501 E 4th, Belton, TX 76513",501 E 4th,Belton,TX,76513,(254) 215-3700,Shelia Surovik,http://www.bisd.net/,Belton ISD,Early Education - Prekindergarten,100,
290,20,BEN BOLT-PALITO BLANCO ELEM,"401 Whitney Dr, Alice, TX 78332",401 Whitney Dr,Alice,TX,78332,(361) 664-9568,Fernando Robert Galvan,http://www.bbpbschools.net/,Ben Bolt-Palito Blanco ISD,Prekindergarten - Grade 6,100,
291,20,BEN MILAM ELEM,"1215 Rangerville Rd, Harlingen, TX 78550",1215 Rangerville Rd,Harlingen,TX,78550,(956) 427-3150,Mrs Brenda Mckinney,http://www.hcisd.org/milam,Harlingen CISD,Early Education - Grade 5,100,
292,20,BEN MILAM ELEM,"4200 McKinney Ave, Dallas, TX 75205",4200 McKinney Ave,Dallas,TX,75205,(972) 749-5600,Reanna Wilborn,http://www.dallasisd.org/milam,Dallas ISD,Prekindergarten - Grade 5,100,
293,20,BEN MILAM ELEM,"1100 E 21st St, Cameron, TX 76520",1100 E 21st St,Cameron,TX,76520,(254) 697-3641,Glenell Bankhead,http://www.cameronisd.net/,Cameron ISD,Prekindergarten - Grade 2,100,
294,20,BENAVIDES ELEM,"3101 Mcallen Rd, Brownsville, TX 78520",3101 Mcallen Rd,Brownsville,TX,78520,(956) 350-3250,Ms Sherry Stout,http://www.bisd.us/benavides/,Brownsville ISD,Early Education - Grade 5,100,
295,20,BENAVIDES ELEM,"106 W School St, Benavides, TX 78341",106 W School St,Benavides,TX,78341,(361) 256-3030,Dr Marisa Chapa,http://www.benavidesisd.net/,Benavides ISD,Early Education - Grade 6,100,
296,20,BENAVIDES ELEM,"307 Lincoln St, San Ygnacio, TX 78067",307 Lincoln St,San Ygnacio,TX,78067,(956) 765-5611,Ms Diana Brandon,Not Found,Zapata County ISD,Kindergarten - Grade 5,90,School Website not available
297,20,BENAVIDEZ ELEM,"6262 Gulfton St, Houston, TX 77081",6262 Gulfton St,Houston,TX,77081,(713) 778-3350,Ms Martha Preston,http://www.houstonisd.org/,Houston ISD,Early Education - Grade 5,100,
298,20,BENBROOK ELEM,"4026 Bolin Rd, Houston, TX 77092",4026 Bolin Rd,Houston,TX,77092,(713) 613-2502,Ms Dana Darden,http://www.houstonisd.org/,Houston ISD,Prekindergarten - Grade 5,100,
299,20,BENBROOK ELEM,"800 Mercedes St, Fort Worth, TX 76126",800 Mercedes St,Fort Worth,TX,76126,(817) 815-6400,Samantha Gonzalez,http://www.fortworthisd.org/,Fort Worth ISD,Prekindergarten - Grade 5,100,
300,20,BENDWOOD SCHOOL,"12750 Kimberley, Houston, TX 77024",12750 Kimberley,Houston,TX,77024,(713) 251-5200,Jana Bassett,http://bwe.springbranchisd.com/,Spring Branch ISD,Early Education - Early Education,100,
301,21,BENEKE ELEM,"3840 Briarchase Dr, Houston, TX 77014",3840 Briarchase Dr,Houston,TX,77014,(281) 891-8450,A'lesia Land,http://www.springisd.org/bees/,Spring ISD,Early Education - Grade 5,100,
302,21,BENFER ELEM,"18027b Kuykendahl Rd, Klein, TX 77379",18027b Kuykendahl Rd,Klein,TX,77379,(832) 484-6000,Ms Ashley Johnson,http://www.kleinisd.net/,Klein ISD,Early Education - Grade 5,100,
303,21,BENIGNUS ELEM,"7225 Alvin A Klein Dr, Klein, TX 77379",7225 Alvin A Klein Dr,Klein,TX,77379,(832) 484-7750,Ms Amanda O'dowd,http://www.kleinisd.net/,Klein ISD,Early Education - Grade 5,100,
304,21,BENITO MARTINEZ ELEM,"2640 Robert Wynn, El Paso, TX 79936",2640 Robert Wynn,El Paso,TX,79936,(915) 937-8000,Dr Kertrenia Wright,http://www.sisd.net/,Socorro ISD,Prekindergarten - Grade 5,100,
305,21,BENITO MARTINEZ ELEM,"100 School Dr, Ft Hancock, TX 79839",100 School Dr,Ft Hancock,TX,79839,(915) 769-3913,Yadira Munoz,http://www.forthancockisd.net/,Ft Hancock ISD,Prekindergarten - Grade 5,100,
306,21,BENJAMIN DOC KERLEY ELEM,"800 Haybarn Ln, Hutto, TX 78634",800 Haybarn Ln,Hutto,TX,78634,(512) 759-5410,Mrs Kyle Ruggirello,Not Found,Hutto ISD,Early Education - Grade 5,90,School Website not available
307,21,BENJAMIN SCHOOL,"300 Hays St, Benjamin, TX 79505",300 Hays St,Benjamin,TX,79505,(940) 459-2231,Josh Smith,http://www.benjaminisd.net/,Benjamin ISD,Prekindergarten - Grade 12,100,
308,21,BENNETT ELEM,"101 Donald Preston Dr, Wolfforth, TX 79382",101 Donald Preston Dr,Wolfforth,TX,79382,(806) 866-4443,Mrs Kelly Eleuterius,Not Found,Frenship ISD,Early Education - Grade 5,90,School Website not available
309,21,BENS BRANCH ELEM,"24160 Briar Berry Ln, Porter, TX 77365",24160 Briar Berry Ln,Porter,TX,77365,(281) 577-8700,Ruth Anderson,http://www.newcaneyisd.org/,New Caney ISD,Early Education - Grade 5,100,
310,21,BENTLEY ELEM,"9910 FM 359, Richmond, TX 77406",9910 FM 359,Richmond,TX,77406,(832) 223-4900,Jill Nehls,http://lcisd.org/,Lamar CISD,Early Education - Grade 5,100,
311,21,BERKSHIRE ELEM,"10301 Berkshire Lake Blvd, Fort Worth, TX 76131",10301 Berkshire Lake Blvd,Fort Worth,TX,76131,(817) 215-0000,Justin Vercher,http://berkshire.nisdtx.org/,Northwest ISD,Early Education - Grade 5,100,
312,21,BERNSHAUSEN ELEM,"11116 Mahaffey, Tomball, TX 77375",11116 Mahaffey,Tomball,TX,77375,(832) 249-4000,Ms Carrie Farmer,Not Found,Klein ISD,Prekindergarten - Grade 5,90,School Website not available
313,21,BERRY ELEM,"2310 Berry Rd, Houston, TX 77093",2310 Berry Rd,Houston,TX,77093,(713) 696-2700,Alvaro Montelongo,http://www.houstonisd.org/,Houston ISD,Prekindergarten - Grade 5,100,
314,21,BERRY ELEM,"1800 Joyce St, Arlington, TX 76010",1800 Joyce St,Arlington,TX,76010,(682) 867-0850,Rose Ravin,Not Found,Arlington ISD,Prekindergarten - Grade 6,90,School Website not available
315,21,BERTA S PALACIOS ELEM,"801 E Thomas Dr, Pharr, TX 78577",801 E Thomas Dr,Pharr,TX,78577,(956) 354-2000,Mrs Michelle Cardoza,Not Found,Pharr-San Juan-Alamo ISD,Prekindergarten - Grade 5,90,School Website not available
316,22,BERTRAM ELEM,"315 Main, Bertram, TX 78605",315 Main,Bertram,TX,78605,(512) 355-2111,Alicia Harris,http://www.burnetcisd.net/,Burnet CISD,Prekindergarten - Grade 5,100,
317,22,BESS BRANNEN ELEM,"802 That Way St, Lake Jackson, TX 77566",802 That Way St,Lake Jackson,TX,77566,(979) 730-7170,Julie Evans,Not Found,Brazosport ISD,Kindergarten - Grade 4,90,School Website not available
318,22,BESS CAMPBELL ELEM,"1000 Shadow Bend Dr, Sugar Land, TX 77479",1000 Shadow Bend Dr,Sugar Land,TX,77479,(832) 223-1300,Ms Michelle Koerth,http://www.lcisd.org/,Lamar CISD,Early Education - Grade 5,100,
319,22,BESS RACE ELEM,"537 S Hts Dr, Crowley, TX 76036",537 S Hts Dr,Crowley,TX,76036,(817) 297-5080,Mrs Holly Anderson,http://www.crowley.k12.tx.us/,Crowley ISD,Prekindergarten - Grade 5,100,
320,22,BEST ELEM,"10000 Centre Pkwy, Houston, TX 77036",10000 Centre Pkwy,Houston,TX,77036,(713) 988-6445,Ms Renee Canales,http://www.aliefisd.net/,Alief ISD,Prekindergarten - Grade 4,100,
321,22,BETA ACADEMY,"9701 Almeda Genoa Rd, Houston, TX 77075",9701 Almeda Genoa Rd,Houston,TX,77075,(832) 331-2460,Kendra Hampton,http://betaacademy.org/,Beta Academy,Prekindergarten - Grade 2,100,
322,22,BETHANY ELEM,"2418 Micarta Dr, Plano, TX 75025",2418 Micarta Dr,Plano,TX,75025,(469) 752-0300,Mr Bryan Bird,http://www.pisd.edu/,Plano ISD,Kindergarten - Grade 5,100,
323,22,BETHKE ELEM,"4535 E Ventana Pkwy, Katy, TX 77493",4535 E Ventana Pkwy,Katy,TX,77493,(281) 234-4200,Ms Kara Morgan,http://www.katyisd.org/,Katy ISD,Early Education - Grade 5,100,
324,22,BETTE PEROT ELEM,"9345 General Worth Dr, Keller, TX 76244",9345 General Worth Dr,Keller,TX,76244,(817) 744-4600,Lisa Young,http://www.kellerisd.net/,Keller ISD,Kindergarten - Grade 4,100,
325,22,BETTS ELEM,"2320 S Cesar Chavez Rd, Edinburg, TX 75839",2320 S Cesar Chavez Rd,Edinburg,TX,75839,(956) 289-2560,Ms Marla Cavazos,Not Found,Edinburg CISD,Prekindergarten - Grade 5,90,School Website not available
326,22,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,"1421 9th St, Lubbock, TX 79401",1421 9th St,Lubbock,TX,79401,(806) 407-0878,Leisa Buckner,http://www.condraschool.com/,Betty M Condra School for Education Innovation,Kindergarten - Grade 5,100,
327,22,BEVERLY CHEATHAM ELEM,"1501 Hopewell Dr, Allen, TX 75013",1501 Hopewell Dr,Allen,TX,75013,(972) 396-3016,Mrs Stephanie Logan,http://www.allenisd.org/cheathames/site/default,Allen ISD,Early Education - Grade 6,100,
328,22,BEVERLY ELEM,"715 Duchess Dr, Allen, TX 75013",715 Duchess Dr,Allen,TX,75013,(469) 752-0400,Substitute Substitute,http://www.pisd.edu/,Plano ISD,Kindergarten - Grade 5,100,
329,22,BEXAR COUNTY ACADEMY,"1481 Hillcrest Dr, San Antonio, TX 78228",1481 Hillcrest Dr,San Antonio,TX,78228,(210) 432-8600,Gregory Nelson,http://bexarcountyacademy.org/,Bexar County Academy,Prekindergarten - Grade 8,100,
330,22,BIG BEND HS,"550 Roadrunner Cir, Terlingua, TX 79852",550 Roadrunner Cir,Terlingua,TX,79852,(432) 371-2281,Mr Reagan Reed,http://www.terlinguacsd.com/,Terlingua CSD,Prekindergarten - Grade 12,100,
331,23,BIG COUNTRY ELEM,"2250 Pue Rd, San Antonio, TX 78245",2250 Pue Rd,San Antonio,TX,78245,(210) 645-7560,Wendy Quillin,Not Found,Southwest ISD,Early Education - Grade 5,90,School Website not available
332,23,BIG SANDY ELEM,"401 Wildcat Dr, Big Sandy, TX 75755",401 Wildcat Dr,Big Sandy,TX,75755,(903) 636-5287,Mrs Andrea Blavier,http://www.bigsandyisd.org/,Big Sandy ISD,Early Education - Grade 5,100,
333,23,BIG SANDY SCHOOL,"9180 FM 1276, Dallardsville, TX 77332",9180 FM 1276,Dallardsville,TX,77332,(936) 563-1000,Mr Jake Rae Mr Kevin Foster Mrs Diane Houston,http://www.bigsandyisd.net/,Big Sandy ISD,Prekindergarten - Grade 12,100,
334,23,BIG SPRINGS CHARTER SCHOOL,"10664 N US Hwy 83, Leakey, TX 78873",10664 N US Hwy 83,Leakey,TX,78873,(830) 232-7101,Mrs Carmen R Boatright,http://www.bscsk12.com/,Big Springs Charter School,Kindergarten - Grade 12,100,
335,23,BIG SPRINGS ELEM,"3301 W Campbell Rd, Garland, TX 75044",3301 W Campbell Rd,Garland,TX,75044,(469) 593-8100,Vincent Dawes,http://risd.org/,Richardson ISD,Early Education - Grade 6,100,
336,23,BILL BROWN ELEM,"20410 Hwy 46 W, Spring Branch, TX 78070",20410 Hwy 46 W,Spring Branch,TX,78070,(830) 885-1400,Ms Ashley Jackson,Not Found,Comal ISD,Prekindergarten - Grade 5,90,School Website not available
337,23,BILL BURDEN ELEM,"315 Stonewall Pkwy, Liberty Hill, TX 78642",315 Stonewall Pkwy,Liberty Hill,TX,78642,(512) 260-4400,Mrs Tanya Lambert,Not Found,Liberty Hill ISD,Early Education - Grade 5,90,School Website not available
338,23,BILL CHILDRESS ELEM,"7700 Cap Carter Rd, Vinton, TX 79821",7700 Cap Carter Rd,Vinton,TX,79821,(915) 877-7700,Mrs Maria Varela,http://www.canutillo-isd.org/,Canutillo ISD,Prekindergarten - Grade 5,100,
339,23,BILL HASSE ELEM,"1200 E House St, Alvin, TX 77511",1200 E House St,Alvin,TX,77511,(281) 585-3397,Mrs Kristi Plummer Froberg,http://www.alvinisd.net/Domain/15,Alvin ISD,Early Education - Grade 5,100,
340,23,BILL J ELLIOTT ELEM,"2501 Cooks Ln, Fort Worth, TX 76120",2501 Cooks Ln,Fort Worth,TX,76120,(817) 815-4600,Latonya Ordaz,http://www.fortworthisd.org/,Fort Worth ISD,Early Education - Grade 5,100,
341,23,BILL SYBERT SCHOOL,"11530 Edgemere Blvd, El Paso, TX 79936",11530 Edgemere Blvd,El Paso,TX,79936,(915) 937-4400,Rebecca Parada,http://www.sisd.net/,Socorro ISD,Prekindergarten - Grade 8,100,
342,23,BILLIE STEVENSON ELEM,"636 Stevenson Dr, Fate, TX 75087",636 Stevenson Dr,Fate,TX,75087,(469) 698-7474,Mr Mike Pitcher,http://www.rockwallisd.com/Domain/16,Rockwall ISD,Early Education - Grade 6,100,
